scrutin_ref,senateur_ref,position
senat-2020-1,01025N,pour
senat-2020-1,19647E,pour
senat-2020-1,14281W,pour
senat-2020-1,20132W,pour
senat-2020-1,08045X,pour
senat-2020-1,19599P,pour
senat-2020-1,17023S,pour
senat-2020-1,97011G,pour
senat-2020-1,19521Q,pour
senat-2020-1,08018U,pour
senat-2020-1,11010L,pour
senat-2020-1,04035D,pour
senat-2020-1,14231L,pour
senat-2020-1,20120S,pour
senat-2020-1,14355X,pour
senat-2020-1,19820Y,pour
senat-2020-1,19387D,pour
senat-2020-1,07004J,pour
senat-2020-1,08056B,pour
senat-2020-1,14211G,pour
senat-2020-1,14033T,pour
senat-2020-1,14123H,pour
senat-2020-1,14026U,pour
senat-2020-1,01057W,pour
senat-2020-1,20068G,pour
senat-2020-1,98022P,pour
senat-2020-1,11064N,pour
senat-2020-1,19691J,pour
senat-2020-1,19553Y,pour
senat-2020-1,20072C,pour
senat-2020-1,19725B,pour
senat-2020-1,19569H,pour
senat-2020-1,14179A,pour
senat-2020-1,20048C,pour
senat-2020-1,19333N,pour
senat-2020-1,08069G,pour
senat-2020-1,19399H,pour
senat-2020-1,11048N,pour
senat-2020-1,14213J,pour
senat-2020-1,20066E,pour
senat-2020-1,20034V,pour
senat-2020-1,19551W,pour
senat-2020-1,19511N,pour
senat-2020-1,19715Y,pour
senat-2020-1,14121F,pour
senat-2020-1,19531S,pour
senat-2020-1,19683J,pour
senat-2020-1,20056C,pour
senat-2020-1,14097Y,pour
senat-2020-1,19447X,pour
senat-2020-1,95041E,pour
senat-2020-1,14021P,pour
senat-2020-1,99004R,pour
senat-2020-1,14073Q,pour
senat-2020-1,19489J,pour
senat-2020-1,20126Y,pour
senat-2020-1,19649G,pour
senat-2020-1,19735D,pour
senat-2020-1,19611R,pour
senat-2020-1,19583F,pour
senat-2020-1,07029T,pour
senat-2020-1,19723Y,pour
senat-2020-1,19699S,pour
senat-2020-1,08015R,pour
senat-2020-1,19711U,pour
senat-2020-1,11026G,pour
senat-2020-1,08010L,pour
senat-2020-1,08034U,pour
senat-2020-1,19709B,pour
senat-2020-1,18193Q,pour
senat-2020-1,16685X,pour
senat-2020-1,19289C,pour
senat-2020-1,08017T,pour
senat-2020-1,19729F,pour
senat-2020-1,20108W,pour
senat-2020-1,20052X,pour
senat-2020-1,19581D,pour
senat-2020-1,14205J,pour
senat-2020-1,14219Q,pour
senat-2020-1,01048V,pour
senat-2020-1,14059S,pour
senat-2020-1,19441R,pour
senat-2020-1,08012N,pour
senat-2020-1,17779H,pour
senat-2020-1,12016W,pour
senat-2020-1,11104D,pour
senat-2020-1,19657G,pour
senat-2020-1,14251Q,pour
senat-2020-1,14031R,pour
senat-2020-1,14111D,pour
senat-2020-1,14001X,pour
senat-2020-1,11085T,pour
senat-2020-1,19826F,pour
senat-2020-1,08009T,pour
senat-2020-1,14221J,pour
senat-2020-1,04057K,pour
senat-2020-1,19563B,pour
senat-2020-1,14147R,pour
senat-2020-1,20028X,pour
senat-2020-1,11067R,pour
senat-2020-1,19671E,pour
senat-2020-1,20018V,pour
senat-2020-1,14223L,pour
senat-2020-1,04092N,pour
senat-2020-1,19335Q,pour
senat-2020-1,19369B,pour
senat-2020-1,14109K,pour
senat-2020-1,14257W,pour
senat-2020-1,08011M,pour
senat-2020-1,04070G,pour
senat-2020-1,14071N,pour
senat-2020-1,20096L,pour
senat-2020-1,92040Q,pour
senat-2020-1,14169X,pour
senat-2020-1,19768N,pour
senat-2020-1,14253S,pour
senat-2020-1,19573D,pour
senat-2020-1,19866P,pour
senat-2020-1,14191V,pour
senat-2020-1,20050V,pour
senat-2020-1,08047A,pour
senat-2020-1,14237S,pour
senat-2020-1,17637T,pour
senat-2020-1,14193X,pour
senat-2020-1,19745F,pour
senat-2020-1,20148F,pour
senat-2020-1,19533U,pour
senat-2020-1,20030R,pour
senat-2020-1,20118Y,pour
senat-2020-1,19319Q,pour
senat-2020-1,05012A,pour
senat-2020-1,17965H,pour
senat-2020-1,19503N,pour
senat-2020-1,11090Q,pour
senat-2020-1,19739H,pour
senat-2020-1,17583W,pour
senat-2020-1,04043D,pour
senat-2020-1,19679N,pour
senat-2020-1,19443T,pour
senat-2020-1,14331P,pour
senat-2020-1,14225N,pour
senat-2020-1,20082E,pour
senat-2020-1,19766L,pour
senat-2020-1,10015M,pour
senat-2020-1,19705W,pour
senat-2020-1,11012A,pour
senat-2020-1,04033B,pour
senat-2020-1,19798U,pour
senat-2020-1,20054A,pour
senat-2020-1,14229S,pour
senat-2020-1,11054L,pour
senat-2020-1,20020P,pour
senat-2020-1,11045K,pour
senat-2020-1,14107H,pour
senat-2020-1,19619A,pour
senat-2020-1,19421M,pour
senat-2020-1,20044X,pour
senat-2020-1,11097X,pour
senat-2020-1,11043H,pour
senat-2020-1,20098N,pour
senat-2020-1,19762G,pour
senat-2020-1,01058X,pour
senat-2020-1,19703U,pour
senat-2020-1,19713W,pour
senat-2020-1,20062A,pour
senat-2020-1,20084G,pour
senat-2020-1,01028R,pour
senat-2020-1,20136B,pour
senat-2020-1,14275Y,pour
senat-2020-1,19675J,pour
senat-2020-1,19413M,pour
senat-2020-1,01062T,pour
